New Site Code,Asset Number,Catchment, Action Number,Site Number ,Waterway Action Plan ,Landholder,Contact,Action Summary ,Action ,Priority in WAP,Numeric Priority (Based on WAP),Lead Agency,Easting GDA 94 (start of works only),Northing GDA 94  (start of works only), Cost Estimate of Works , Actual Cost of Works , Status ,Inpsected ,Comments,Unnamed: 20,Unnamed: 21,lon,lat
WAP_2025_08_00058,,Allanvale Creek,A.4,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate downstream sections on Allanvale Creek,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$42,000.00",$-,Planning,,,,,,
WAP_2025_08_00059,,Jerrywell Creek,J.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Opportunistic fencing and revegetation,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$12,000.00",$-,Planning,,,,,,
WAP_2025_08_00060,,Jerrywell Creek,J.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor confluence of reach 4 of Concongella Creek for headward erosion,Stability,Low,1,,Null,Null,$100.00,$-,Unknown,,,,,,
WAP_2025_08_00061,,Kirkella Creek,K.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate along Kirkella Creek between Doctors Creek and Kirkella Creek Road,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$11,250.00",$-,Planning,,,,,,
WAP_2025_08_00062,,Kirkella Creek,K.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Opportunistic fencing and revegetation,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$18,000.00",$-,Planning,,,,,,
WAP_2025_08_00063,,Kirkella Creek,K.4,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Medium,2,,Null,Null,$800.00,$-,Unknown,,,,,,
WAP_2025_08_00064,,Salt Creek,S.1,Unknown,Concongella Creek WAP 2003,Calvin West,53562230,Treat active scour on property of C West,Stability,Medium,2,WCMA,Null,Null,"$5,000.00",$-,Completed,,Done,,,,
WAP_2025_08_00065,,Salt Creek,S.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate along Salt Creek,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$48,000.00",$-,Planning,,,,,,
WAP_2025_08_00066,,Salt Creek,S.3,Unknown,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,$500.00,$-,Unknown,,,,,,
WAP_2025_08_00067,,Salt Creek,S.4,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Low,1,,Null,Null,$500.00,$-,Unknown,,,,,,
WAP_2025_08_00068,,Wattle Creek,W.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate along Wattle Creek,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$18,000.00",$-,Planning,,,,,,
WAP_2025_08_00069,,Wattle Creek,W.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,"$1,500.00",$-,Unknown,,,,,,
WAP_2025_08_00070,,Wattle Creek,W.3,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Low,1,,Null,Null,"$1,500.00",$-,Unknown,,,,,,
WAP_2025_08_00074,,Reach 1,1.3,Unknown,Glendhu Creek WAP 2004,Unknown,Null,"Undertake a through vegetation survey during spring/summer, prior to the start of any works",Survey,Medium,2,,Null,Null,$500.00,$-,Planning,,,,,,
WAP_2025_08_00075,,Reach 1,1.4,Unknown,Glendhu Creek WAP 2004,Unknown,Null,"Control rabbits on the slopes, particulary in the tributaries",Rabbit Control,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00076,,Reach 1,1.5,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Increase soil recharge through steep hill planting,Revegetation,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00077,,Reach 2,2.1,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake longitudinal and cross section survey of left bank tributary to determine location for grade control structures,Stability,High,3,,Null,Null,Refer action CW1 and CW2 Glendhu WAP,$-,Unknown,,,,,,
WAP_2025_08_00078,,Reach 2,2.10,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake a vegetation survey during spring/summer prior to the start of any works,Survey,Medium,2,,Null,Null,$500.00,$-,Planning,,,,,,
WAP_2025_08_00079,,Reach 2,2.11,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00080,,Reach 2,2.12,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Increase soil recharge through steep hill planting,Revegetation,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00084,,Reach 2,2.5,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence remenant vegetation to exclude stock to encourage natural regeneration and protect rare species,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$22,440.00",$-,Planning,,,,,,
WAP_2025_08_00087,,Reach 2,2.9,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Weed control including targeted attack on Horehound and spot spraying of Spiny Rush,Weed Control,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00089,,Reach 3,3.2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,"Undertake a vegetation survey during spring/summer to identify and map remnant native vegetation, including rare/endagered plant species",Survey,Medium,2,,Null,Null,$500.00,$-,Planning,,,,,,
WAP_2025_08_00095,,Reach 3,3.8,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,High,3,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00101,,Reach 4,4.6,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,High,3,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00112,,Reach 5,5.18,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake Longitudinal and cross section survey of main channel,Survey,High,3,,Null,Null,Survey included as part of entire Glendhu Creek survey,$-,Unknown,,,,,,
WAP_2025_08_00115,,Reach 5,5.20,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence & revegetate,Fencing & Revegetation,High,3,WCMA,Null,Null,"$47,700.00",$-,Unknown,,,,,,
WAP_2025_08_00116,,Reach 5,5.2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake vegetation survey in spring/summer,Survey,Medium,2,,Null,Null,$-,$-,Planning,,,,,,
WAP_2025_08_00117,,Reach 5,5.3,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Increase soil recharge through steep hill planting,Revegetation,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00118,,Reach 5,5.4,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,High,3,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00119,,Reach 5,5.5,Unknown,Glendhu Creek WAP 2004,Unknown,Null,"Undertake weed control including targeted attack on Phalaris, Scotch Thistle, Spiny Rush and Briar Rose",Weed Control,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00126,,Reach 6,6.2,Unknown,Glendhu Creek WAP 2004,K. Boatman,Null,Fix minor headcut,Stability,Low,1,,648531,Null,$300.00,$-,Planning,,Liaise with landholder and arrange for fencing and revegetation through partnership program (HWIS),,,,
WAP_2025_08_00129,,Reach 7,7.2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control weeds,Weed Control,Medium,,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00130,,Reach 7,7.3,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Monitor reach for new bed and bank erosion,Monitor,Medium,,,Null,Null,$-,$-,Unknown,,,,,,
WAP_2025_08_00131,,Reach 7,7.4,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,Medium,,,Null,Null,Cost borne under other programs,$-,Unknown,,,,,,
WAP_2025_08_00132,,Reach 5,5.1? or 5.10,Unknown,Glendhu Creek WAP 2004,Unknown,Null,,Unknown,Null,Null,WCMA,Null,Null,$-,,Completed,,,,,,
WAP_2025_08_00133,,Catchment Wide,CW1,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Longitudinal and cross section survey from the Wimmera river confluence to the upper catchment,Stability,High,3,,Null,Null,"$14,000.00",$-,Unknown,,,,,,
WAP_2025_08_00134,,Catchment Wide,CW2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Sediment transport and streampower modelling,Modelling,High,3,,Null,Null,"$7,000.00",$-,Planning,,,,,,
WAP_2025_08_00163,,Reach G1,G1,G1,Glenpatrick/Nowhere Creek WAP 2006,Unknown,Null,Provide flood warning signs at all road crossings.,Flood Signage,High,3,Refered to Council,Entire Reach,Entire Reach,"$12,000.00",$-,Refer to Other Agency,,Roads flood in major rain events. Refer to Council,,,,
WAP_2025_08_00165,,Reach G1,G1,G1,Glenpatrick/Nowhere Creek WAP 2006,Unknown,Null,Continue the current Platypus monitoring and biological data collection program for a minimum of another 3 years.,Platypus Study,Very High,4,,Entire Reach,Entire Reach,"$69,000.00",$-,Unknown,,A lack of Platypus population and biological data throuout the entire reach.,,,,
WAP_2025_08_00184,,Reach G2,G2,G2,Glenpatrick/Nowhere Creek WAP 2006,Unknown,Null,Continue the current Platypus monitoring and biological data collection program for a minimum of another 3 years.,Platypus Study,Very High,4,,Entire Reach,Entire Reach,"$87,000.00",$-,Unknown,,A lack of Platypus population and biological data throuout the entire reach.,,,,
WAP_2025_08_00191,,Reach N2,N2,N2,Glenpatrick/Nowhere Creek WAP 2006,Unknown,Null,Establish a series of geomorphic monitoring sites (approx 2) in upper reach of Nowhere Creek and Spring Creek.,Monitor,High,3,,Upper reach,Upper reach,"$10,000.00",$-,Unknown,,Waterway is in a meta-stable state and a new wave of erosion and instability may initiate in a major event.,,,,
WAP_2025_08_00204,,Reach 1,E 1/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Protect the stream morphology through construction of stock watering access facilities and fence out section,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$50,000.00",$-,Unknown,,Deep old course pools with good structure require protection from uncontrolled stock access,,,,
WAP_2025_08_00214,,Reach 4,F1/4,R4 and R4/6,Mt Cole Creek WAP 2005,Unknown,Null,Negotiate flood warning signage for road crossing with Council,Flood Signage,Low,1,Refered to Council,reach,reach,"$12,000.00",$-,Unknown,,Road safety danger through broad flooding of Woodlands Road in large events,,,,
WAP_2025_08_00215,,Reach 1,S1/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,Reach,Reach,"$5,000.00",$-,Unknown,,Insidious bank erosion due to high density of emergent macrophytes,,,,
WAP_2025_08_00216,,Reach 2,S1/2,R2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,reach,reach,"$5,000.00",$-,Unknown,,Insidious bank erosion due to high density of emergent macrophytes,,,,
WAP_2025_08_00217,,Reach 3,S1/3,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor minor foothill tributaries for movement of minor bank and bed erosion after episodic events,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,Minor instabilities in foothill tributary channels,,,,
WAP_2025_08_00225,,Multiple,S2/2,Multiple,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,many minor areas of bank erosion in small stream lines where Spiny Rush is holding beds together,,,,
WAP_2025_08_00229,,Multiple,S3/2,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Provide stabilised areas for stock watering and then fence and revegetation areas in cooperative program with land owners and DPI,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$60,000.00",$-,Unknown,,Stock access to minor tributaries adding to instability - poor soils,,,,
WAP_2025_08_00234,,Reach 1,S5/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Provide stabilised areas for stock watering and then fence and revegetation areas in cooperative program with land owners and DPI,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Stock access to minor tributaries adding to instability - poor soils,,,,
WAP_2025_08_00237,,Reach 1,S6/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Monitor bank erosion after episodic events to judge rate of change above natural,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,many minor areas of bank erosion in small stream lines where Spiny Rush is holding beds together,,,,
WAP_2025_08_00245,,Reach 1,V2/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Investigate techniques to lower the saturation levels in the riparian areas,Fencing & Revegetation,Urgent,5,WCMA,Reach,Reach,"$12,000.00",$-,Unknown,,Sediment saturation levels and salt affecting the riparian community,,,,
WAP_2025_08_00246,,Reach 2,V2/2,R2/2/1,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$20,000.00",$-,Unknown,,"Discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,,,
WAP_2025_08_00247,,Reach 4,V2/4,"R4, R4/1",Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,,,
WAP_2025_08_00248,,Reach 2,V3/2,R2,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with reestablishment of revegetation of key stream corridors",Fencing & Revegetation,Medium,2,WCMA,Reach,Reach,"$25,000.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,,,
WAP_2025_08_00248,,Reach 3,V2/4,R3/1/1,Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,,,
WAP_2025_08_00248,,Reach 5,V2/5,R5,Mt Cole Creek WAP 2005,Unknown,Null,support land care groups in control  program of key weed species,Weed Control,Medium,2,WCMA,reach,reach,"$25,000.00",$-,Unknown,,Infestations of Gorse and blackberry noted,,,,
WAP_2025_08_00248,,Reach 3,V3/3,"R3, R3/1, R3/2, R3/4",Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is a weed,,,,
WAP_2025_08_00248,,All Reaches,V3/3,All Reaches,Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is also a weed,,,,
WAP_2025_08_00249,,Reach 4,V3/4,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is also a weed,,,,
WAP_2025_08_00250,,Reach 4,V3/4,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$100,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,,,
WAP_2025_08_00251,,Tom The Tailor Creek,Unknown,Unknown,Wimmera WAP,Unknown,Null,Improve grazing management through landholder consultation,Consultation,Low,,,Null,Null,$-,$-,Planning,,,,,,
WAP_2025_08_00251,,Reach 4,V3/4,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Trial replacement with other less weedy species,Revegetation,High,3,WCMA,Reach,Reach,"$15,000.00",$-,Unknown,,Major infestation of Spiny Rush along streams - aiding in bed stability but is also a weed,,,,
WAP_2025_08_00252,,Reach 5,V3/5,All Tributaries,Mt Cole Creek WAP 2005,Unknown,Null,Support fencing and revegetation of stream corridor with grants,Fencing & Revegetation,High,3,WCMA,various,various,"$50,000.00",$-,Unknown,,Minor tributaries lack vegetation cover along streams - some revegetation by land owners,,,,
WAP_2025_08_00253,,Reach 5,V3/5,All Tributaries,Mt Cole Creek WAP 2005,Unknown,Null,Start revegetation with known salt tolerant stock,Fencing & Revegetation,Low,1,WCMA,Reach,Reach,"$10,000.00",$-,Unknown,,Many RRG's salt stressed,,,,
WAP_2025_08_00254,,Unknown,Tom The Tailor Creek,Unknown,Wimmera WAP,Unknown,Null,Fence and revegetate right and left banks (approx 5300m),Fencing & Revegetation,Low,,WCMA,Null,Null,$-,$-,Planning,,,,,,
WAP_2025_08_00255,,All Reaches,V4/2,All Reaches,Mt Cole Creek WAP 2005,Unknown,Null,"Provide for controlled stock access, fence and assist with revegetation of corridor",Fencing & Revegetation,Very High,4,WCMA,Reach,Reach,"$106,250.00",$-,Unknown,,"Thin , discontinuous, remnant riparian forest and bank vegetation along mainstem under threat from uncontrolled grazing and large gaps breaking wildlife and riparian corridor",,,,
WAP_2025_08_00256,,Reach 1,W 1/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,Salinity of pools elevated,,,,
WAP_2025_08_00257,,Reach 2,W 1/2,R2,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,Salinity of pools elevated,,,,
WAP_2025_08_00258,,Reach 3,W 1/3,R3/2/1,Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to improve the water quality treatment performance of swamp,Water Quality,Medium,2,,Reach,Reach,$-,$-,Unknown,,high suspended solids and turbidity being treated in old swamp and could be improved,,,,
WAP_2025_08_00259,,Reach 1,W 1/4,R1,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment - particularly revegetation of infiltration zones on upper slopes,Revegetation,Urgent,5,,Reach,Reach,$-,$-,Unknown,,Salinity of stream elevated,,,,
WAP_2025_08_00260,,Reach 5,W 1/5,All Tributaries,Mt Cole Creek WAP 2005,Unknown,Null,Support Salinity Management Plan actions throughout catchment - particularly revegetation of infiltration zones on upper slopes,Revegetation,Urgent,5,,Various,Various,$-,$-,Unknown,,Salinity of stream elevated,,,,
WAP_2025_08_00261,,Reach 5,W 2/5,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to improve sediment and water quality treatment performance through the establishment of formal sediment traps on the tributaries upstream of the mainstem,Water Quality,Urgent,5,,Reach,Reach,"$12,000.00",$-,Unknown,,"High salinity, suspended solids and turbidity in lateral tributaries having direct impact on the mainstem Mt Cole Creek",,,,
WAP_2025_08_00261,,Reach 1,W2/1,Unknown,Mt Cole Creek WAP 2005,Unknown,Null,Negotiate waterway protection with land owner i.e. fence and revegetate corridor,Water Quality,High,3,Landowner,Reach,Reach,"$10,000.00",$-,Unknown,,"Eroding channels in high slaking soils producing salt, sediment and turbidity",,,,
WAP_2025_08_00263,,Unknown,Unknown,Unknown,Wimmera WAP,Unknown,Null,Fence left and right banks as required,Fencing,Low,,WCMA,Null,Null,$-,$-,Planning,,Between the boundary fence 500m NE of Joel Joel hall and levee bank on eastern branch of the Wimmera River,,,,
WAP_2025_08_00263,,Reach 4,W2/4,"R4/1/1, R4/2",Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to improve water quality treatment performance of swamps east of Woodlands Road,Fencing & Revegetation,High,3,WCMA,Reach,Reach,"$25,000.00",$-,Unknown,,High suspended solids and turbidity in tributaries being attenuated by old swamp and could be improved,,,,
WAP_2025_08_00264,,Reach 1,W3/1,R1,Mt Cole Creek WAP 2005,Unknown,Null,Investigate opportunities to enhance swamp characteristics to improve water quality treatment through sed pond and stored event management,Water Quality,Medium,2,,Reach,Reach,"$17,500.00",$-,Unknown,,Large phragmites swamp performing a major water quality improvement function,,,,
WAP_2025_08_00266,,Reach 1,W4/1,R1/2/2,Mt Cole Creek WAP 2005,Unknown,Null,Monitor run off from area,Monitor,Low,1,,Reach,Reach,$-,$-,Unknown,,Intensive blue gum plantation may impact on yields,,,,
WAP_2025_08_00267,,Reach 1,1.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Determine the condition of the drop structure on the Bulgana Rd and repair/maintain as appropriate,Stability,Medium,2,,Null,Null,$-,$-,Unknown,,,,,,
WAP_2025_08_00268,,Reach 1,1.2,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Monitor the condition of the drop structure of Bulgana Road,Monitor,Low,1,,Null,Null,$-,$-,Unknown,,,,,,
WAP_2025_08_00269,,Reach 1,1.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Fencing and revegetate along creek to link up with roadside vegetation and to link with fencing and revegetation activities in Reach 2,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$18,000.00",$-,Planning,,,,,,
WAP_2025_08_00270,,Reach 2,2.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,High,3,,Null,Null,"$9,600.00",$-,Unknown,,,,,,
WAP_2025_08_00271,,Reach 2,2.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Fence and revegetate in upper and mid section to control erosion and sediment movement,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$54,000.00",$-,Planning,,,,,,
WAP_2025_08_00272,,Reach 2,2.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Improve riparian vegetation in lower section to extend the high value of reach 3 and to act as a buffer to the high value of reach 3,Fencing & Revegetation,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,,,
WAP_2025_08_00273,,Reach 2,2.3,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Control saline groundwater discharge into Seven Mile Creek,Fencing & Revegetation,High,,WCMA,Null,Null,$-,$-,Planning,,,,,,
WAP_2025_08_00274,,Reach 2,2.4,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Treat active erosion heads in the upper section of the reach,Stability,High,3,WCMA,Null,Null,"$100,000.00",$-,Completed,,"Clark Site 1,2 & 3",,,,
WAP_2025_08_00275,,Reach 2,2.5,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Restrict stock access to lower reach,Fencing,Medium,2,WCMA,Null,Null,$-,$-,Planning,,,,,,
WAP_2025_08_00277,,Reach 3,3.1,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,High,3,,Null,Null,"$9,000.00",$-,Unknown,,,,,,
WAP_2025_08_00278,,Reach 3,3.2,Unknown,Seven Mile Creek WAP 2003,Unknown,Null,Monitor structures in the upper reaches of the Concongella hill tributary,Monitor,Low,1,,Null,Null,$600.00,$-,Unknown,,,,,,
