New Site Code,Asset Number,Catchment, Action Number,Site Number ,Waterway Action Plan ,Landholder,Contact,Action Summary ,Action ,Priority in WAP,Numeric Priority (Based on WAP),Lead Agency,Easting GDA 94 (start of works only),Northing GDA 94  (start of works only), Cost Estimate of Works , Actual Cost of Works , Status ,Inpsected ,Comments,Unnamed: 20,Unnamed: 21
WAP_2025_08_00021,,Reach 3,3.10,3/010a,Burnt Creek WAP 2005,Unknown,Null,Control weeds,Weed Control,High,3,Landholder Responibility,611443,5931536,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00021,,Reach 3,3.10,3/010b,Burnt Creek WAP 2005,Unknown,Null,Control weeds,Weed Control,High,3,Landholder Responibility,611313,5931830,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00022,,Reach 3,3.11,3/008,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,610836,5928607,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00022,,Reach 3,3.11,3/009a,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,611087,5929794,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00022,,Reach 3,3.11,3/009b,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,611149,5930099,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00023,,Reach 3,3.2,3/008,Burnt Creek WAP 2005,Unknown,Null,Stop cropping in riparian zone,Enforcement,High,3,Landholder Responibility,610837,5928608,$-,$-,Planning,,,,
WAP_2025_08_00024,,Reach 3,3.3,3/008,Burnt Creek WAP 2005,Unknown,Null,Stop vegetation and firewood collection in riparian zone,Enforcement,High,3,Landholder Responibility,610837,5928608,$-,$-,Planning,,,,
WAP_2025_08_00025,,Reach 3,3.4,3/009a,Burnt Creek WAP 2005,Unknown,Null,Remove rubble dumped on downstream side of Mackies Rd crossing. Remove vegetation and soil from within the culvert,Removal of Vegetation,Medium,2,HRCC,611650,5930158,"$5,000.00",$-,Planning,,,,
WAP_2025_08_00026,,Reach 3,3.5,3/008,Burnt Creek WAP 2005,Unknown,Null,Replace fence both sides of stream immediately upstream of Clynes Rd crossing in 2-5 years,Fencing,Medium,2,WCMA,610830,5927538,"$9,900.00",$-,Planning,,,,
WAP_2025_08_00027,,Reach 3,3.6,Unknown,Burnt Creek WAP 2005,Unknown,Null,Fence right bank riparian zone downstream of Clynes Rd crossing,Fencing,High,3,WCMA,610174,5928354,"$9,900.00",$-,Planning,,,,
WAP_2025_08_00028,,Reach 3,3.7,3/009a,Burnt Creek WAP 2005,Unknown,Null,Replace fence both sides of stream immediately upstream of Mackies Rd crossing in 5-15 years,Fencing,Low,1,WCMA,611059,5929982,"$11,000.00",$-,Planning,,,,
WAP_2025_08_00029,,Reach 3,3.8,3/009B,Burnt Creek WAP 2005,Unknown,Null,Fence riparian zone between Mackies Rd and Western Highway,Fencing,High,3,WCMA,611039,5930003,"$9,700.00",$-,Planning,,,,
WAP_2025_08_00030,,Reach 3,3.9,3/009B,Burnt Creek WAP 2005,Unknown,Null,Fence right bank riparian zone between Western highway and centre road.,Fencing,High,3,WCMA,611439,5930742,"$5,400.00",$-,Planning,,,,
WAP_2025_08_00031,,Reach 4,4.1,4/011,Burnt Creek WAP 2005,Unknown,Null,Stop removal of vegetation and firewood collection in the riparian zone,Enforcement,High,3,"Landholder Responibility, DEECA on Crown frontage",610690,5933133,$-,$-,Planning,,,,
WAP_2025_08_00031,,Reach 4,4.1,4/012,Burnt Creek WAP 2005,Unknown,Null,Stop removal of vegetation and firewood collection in the riparian zone,Enforcement,High,3,"Landholder Responibility, DEECA on Crown frontage",609585,5934762,$-,$-,Planning,,,,
WAP_2025_08_00032,,Reach 4,4.2,4/011,Burnt Creek WAP 2005,Unknown,Null,Fence riparian zone between Riverside East and revegetated area 300m upstream of Horsham-Drung Rd,Fencing,High,3,WCMA,611351,5932484,"$20,100.00",$-,Planning,,,,
WAP_2025_08_00032,,Reach 4,4.2,4/012,Burnt Creek WAP 2005,Unknown,Null,Fence riparian zone between Riverside East and revegetated area 300m upstream of Horsham-Drung Rd,Fencing,High,3,WCMA,609583,5934862,"$20,100.00",$-,Planning,,,,
WAP_2025_08_00033,,Reach 4,4.3,4/011,Burnt Creek WAP 2005,Unknown,Null,Control Weeds,Weed Control,High,3,Landholder Responibility,610690,933133,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00033,,Reach 4,4.3,4/012,Burnt Creek WAP 2005,Unknown,Null,Control Weeds,Weed Control,High,3,Landholder Responibility,609585,5934762,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00034,,Reach 4,4.4,4/011,Burnt Creek WAP 2005,Unknown,Null,Contol weeds,Weed Control,High,3,Landholder Responibility,610690,933133,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00035,,Reach 5,5.1,5/013,Burnt Creek WAP 2005,Unknown,Null,Fence riparian zone to keep cyclists and pedestrians on designated pathways,Fencing,High,3,WCMA,608745,5934616,"$1,700.00",$-,Planning,,,,
WAP_2025_08_00036,,Reach 5,5.2,5/012,Burnt Creek WAP 2005,Unknown,Null,Control weeds,Weed Control,High,3,Landholder Responibility,609585,5934762,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00036,,Reach 5,5.2,5/013,Burnt Creek WAP 2005,Unknown,Null,Control weeds,Weed Control,High,3,Landholder Responibility,608612,5934563,Cost borne under other programs,$-,Planning,,,,
WAP_2025_08_00037,,Reach 5,5.3,5/013,Burnt Creek WAP 2005,Unknown,Null,Implement stream rehabilitation works to provide habitat and riparian features,Planning,Low,1,"HRCC, WRIC, WCMA",608612,5934762,"$12,500.00",$-,Planning,,,,
WAP_2025_08_00037,,Reach 5,5.3,5/014,Burnt Creek WAP 2005,Unknown,Null,Implement stream rehabilitation works to provide habitat and riparian features,Planning,Low,1,"HRCC, WRIC, WCMA",608469,5934621,"$12,500.00",$-,Planning,,,,
WAP_2025_08_00037,,Reach 5,5.3,5/015,Burnt Creek WAP 2005,Unknown,Null,Implement stream rehabilitation works to provide habitat and riparian features,Planning,Low,1,"HRCC, WRIC, WCMA",608785,5934857,"$12,500.00",$-,Planning,,,,
WAP_2025_08_00037,,Reach 5,5.3,5/016,Burnt Creek WAP 2005,Unknown,Null,Implement stream rehabilitation works to provide habitat and riparian features,Planning,Low,1,"HRCC, WRIC, WCMA",608898,5935043,"$12,500.00",$-,Planning,,,,
WAP_2025_08_00038,,Reach 1,1.1,R1,Concongella Creek WAP 2003,Unknown,Null,Fencing & Revegetation,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$60,000.00",$-,Planning,,,,
WAP_2025_08_00039,,Reach 1,1.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor bridge cleaning activities undertaken by Vicroads,Monitor,Low,1,Vicroads,Null,Null,$500.00,$-,Planning,,,,
WAP_2025_08_00040,,Reach 2,2.1,R2,Concongella Creek WAP 2003,Unknown,Null,Treat active erosion in the right bank tributary adjacent to Bulgana Road,Stability,Medium,2,,Null,Null,"$1,200.00",$-,Planning,,,,
WAP_2025_08_00041,,Reach 2,2.2,R2,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,"$1,200.00",$-,Unknown,,,,
WAP_2025_08_00042,,Reach 2,2.3,R2,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Medium,2,,Null,Null,"$1,200.00",$-,Unknown,,,,
WAP_2025_08_00043,,Reach 2,2.4,R2,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate Concongella creek and its tributaries,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$60,000.00",$-,Planning,,,,
WAP_2025_08_00044,,Reach 3,3.1,R3,Concongella Creek WAP 2003,Unknown,Null,Treat active erosion in right bank tributary downstream from Sycamores Road,Stability,Medium,2,,Null,Null,"$10,000.00",$-,Planning,,Steve West Site - Redesign?,,
WAP_2025_08_00045,,Reach 1,3.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Treat active bank erosion heads in the upstream reaches of Allanvale Creek and in the right bank tributary upstream from McKays Woolshed Road,Treatment,Medium,2,,Null,Null,"$10,000.00",$-,Completed,,Constructed 09/10,,
WAP_2025_08_00046,,Reach 3,3.2,R3,Concongella Creek WAP 2003,Unknown,Null,Fence and revetate Concongella creek and its tributaries,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$30,000.00",$-,Planning,,,,
WAP_2025_08_00047,,Reach 3,3.3,R3,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Low,1,,Null,Null,$200.00,$-,Unknown,,,,
WAP_2025_08_00048,,Reach 3,3.4,R3,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Monitor,Low,1,,Null,Null,$200.00,$-,Unknown,,,,
WAP_2025_08_00049,,Reach 3,3.5,R3,Concongella Creek WAP 2003,Unknown,Null,Fence and revetate tributaries (excluding Wattle Creek),Fencing & Revegetation,Low,1,WCMA,Null,Null,"$42,000.00",$-,Planning,,,,
WAP_2025_08_00050,,Reach 4,4.1,R4,Concongella Creek WAP 2003,Unknown,Null,Install a sediment trap at the downstream end of the sediment 'slug' and remove sediment when it becomes full.,Stability,High,3,,Null,Null,"$15,000.00",$-,Unknown,,Review as part of Concongella WAP upgrade,,
WAP_2025_08_00051,,Reach 4,4.2,R4,Concongella Creek WAP 2003,Unknown,Null,"Fence Concongella creek and stabilise sediment throughout the reach, with the introduction of vegetation and control of stock access",Fencing & Revegetation,High,3,WCMA,Null,Null,"$24,000.00",$-,Planning,,,,
WAP_2025_08_00052,"179,180, 181, 182, 183, 1875, 1876, 1877",Unknown,Unknown,Unknown,Concongella Creek WAP 2003,George Holden,5358 2034,Repair drop structures,Stability,Medium,,WCMA,668800,5897250,"$39,700.00","$37,100.00",Completed,,,,
WAP_2025_08_00053,1893,Unknown,0304_036,Unknown,Concongella Creek WAP 2003,Steven West,5356 2230,Control multiple active headcuts,Stability,High,3,WCMA,662832,5899707,"$23,500.00","$27,760.00",Completed,,,,
WAP_2025_08_00054,282,Allanvale Creek,0304_039 Allanvale Creek,Unknown,Concongella Creek WAP 2003,Peter Leake,5356 2343,Repair drop structure,Stability,Medium,,WCMA,670657,5882922,"$4,910.00","$6,640.00",Completed,,,,
WAP_2025_08_00055,1892,Salt Creek,0304_040,Unknown,Concongella Creek WAP 2003,Calvin West,53562230,Control multiple active headcuts,Stability,High,3,WCMA,668668,5890104,"$16,500.00","$15,600.00",Completed,,,,
WAP_2025_08_00056,,Allanvale Creek,A.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,$800.00,$-,Unknown,,,,
WAP_2025_08_00057,,Allanvale Creek,A.3,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Medium,2,,Null,Null,$800.00,$-,Unknown,,,,
WAP_2025_08_00058,,Allanvale Creek,A.4,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate downstream sections on Allanvale Creek,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$42,000.00",$-,Planning,,,,
WAP_2025_08_00059,,Jerrywell Creek,J.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Opportunistic fencing and revegetation,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$12,000.00",$-,Planning,,,,
WAP_2025_08_00060,,Jerrywell Creek,J.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor confluence of reach 4 of Concongella Creek for headward erosion,Stability,Low,1,,Null,Null,$100.00,$-,Unknown,,,,
WAP_2025_08_00061,,Kirkella Creek,K.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate along Kirkella Creek between Doctors Creek and Kirkella Creek Road,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$11,250.00",$-,Planning,,,,
WAP_2025_08_00062,,Kirkella Creek,K.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Opportunistic fencing and revegetation,Fencing & Revegetation,Low,1,WCMA,Null,Null,"$18,000.00",$-,Planning,,,,
WAP_2025_08_00063,,Kirkella Creek,K.4,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Medium,2,,Null,Null,$800.00,$-,Unknown,,,,
WAP_2025_08_00064,,Salt Creek,S.1,Unknown,Concongella Creek WAP 2003,Calvin West,53562230,Treat active scour on property of C West,Stability,Medium,2,WCMA,Null,Null,"$5,000.00",$-,Completed,,Done,,
WAP_2025_08_00065,,Salt Creek,S.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate along Salt Creek,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$48,000.00",$-,Planning,,,,
WAP_2025_08_00066,,Salt Creek,S.3,Unknown,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,$500.00,$-,Unknown,,,,
WAP_2025_08_00067,,Salt Creek,S.4,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Low,1,,Null,Null,$500.00,$-,Unknown,,,,
WAP_2025_08_00068,,Wattle Creek,W.1,Unknown,Concongella Creek WAP 2003,Unknown,Null,Fence and revegetate along Wattle Creek,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$18,000.00",$-,Planning,,,,
WAP_2025_08_00069,,Wattle Creek,W.2,Unknown,Concongella Creek WAP 2003,Unknown,Null,Investigate stability of any drop structures and repair and maintain as appropriate,Stability,Medium,2,,Null,Null,"$1,500.00",$-,Unknown,,,,
WAP_2025_08_00070,,Wattle Creek,W.3,Unknown,Concongella Creek WAP 2003,Unknown,Null,Monitor the condition of drop structures,Stability,Low,1,,Null,Null,"$1,500.00",$-,Unknown,,,,
WAP_2025_08_00071,"1884, 1885, 1886, 1890",Cox Farm Scour,Unknown,Unknown,Concongella Creek WAP 2003,Parks Vic,5358 8903,Control multiple active headcuts,Stability,High,3,WCMA,665851,5902964,"$48,650.00","$50,000.00",Completed,,Done,,
WAP_2025_08_00072,,Reach 1,1.1,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Address minor headcuts,Stability,High,3,,692158,5893243,"$2,000.00",$-,Unknown,,,,
WAP_2025_08_00073,,Reach 1,1.2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence off channel to control stock and stabilise active erosion sites,Fencing & Revegetation,Medium,2,WCMA,691520,5893181,"$16,200.00",$-,Planning,,,,
WAP_2025_08_00074,,Reach 1,1.3,Unknown,Glendhu Creek WAP 2004,Unknown,Null,"Undertake a through vegetation survey during spring/summer, prior to the start of any works",Survey,Medium,2,,Null,Null,$500.00,$-,Planning,,,,
WAP_2025_08_00075,,Reach 1,1.4,Unknown,Glendhu Creek WAP 2004,Unknown,Null,"Control rabbits on the slopes, particulary in the tributaries",Rabbit Control,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,
WAP_2025_08_00076,,Reach 1,1.5,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Increase soil recharge through steep hill planting,Revegetation,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,
WAP_2025_08_00077,,Reach 2,2.1,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake longitudinal and cross section survey of left bank tributary to determine location for grade control structures,Stability,High,3,,Null,Null,Refer action CW1 and CW2 Glendhu WAP,$-,Unknown,,,,
WAP_2025_08_00078,,Reach 2,2.10,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake a vegetation survey during spring/summer prior to the start of any works,Survey,Medium,2,,Null,Null,$500.00,$-,Planning,,,,
WAP_2025_08_00079,,Reach 2,2.11,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,
WAP_2025_08_00080,,Reach 2,2.12,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Increase soil recharge through steep hill planting,Revegetation,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,
WAP_2025_08_00081,,Reach 2,2.2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Design and install grade control structures on left bank tributary,Stability,High,3,,691275,5893123,"$50,000.00",$-,Defered,,Glendhu,,
WAP_2025_08_00082,,Reach 2,2.3,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence & revegetate,Fencing & Revegetation,Medium,2,WCMA,691275,5893123,"$29,400.00",$-,Planning,,,,
WAP_2025_08_00083,,Reach 2,2.4,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control head cut,Stability,Medium,2,,690634,5893173,"$2,000.00",$-,Unknown,,,,
WAP_2025_08_00084,,Reach 2,2.5,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence remenant vegetation to exclude stock to encourage natural regeneration and protect rare species,Fencing & Revegetation,Medium,2,WCMA,Null,Null,"$22,440.00",$-,Planning,,,,
WAP_2025_08_00085,,Reach 2,2.7,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undetake longitudinal and cross section survey to determine location for grade control structures,Stability,High,3,,692342,5893100,Refer action CW1 and CW2 Glendhu WAP,$-,Unknown,,,,
WAP_2025_08_00086,,Reach 2,2.8,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Design and install grade control structures,Stability,High,3,,692542,5893100,"$100,000.00",$-,Defered,,Glendhu,,
WAP_2025_08_00087,,Reach 2,2.9,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Weed control including targeted attack on Horehound and spot spraying of Spiny Rush,Weed Control,Medium,2,,Null,Null,Cost borne under other programs,$-,Unknown,,,,
WAP_2025_08_00088,,Reach 3,3.1,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence and revegetate main channel to control stock and stabilise active erosion sites,Fencing & Revegetation,Medium,2,WCMA,687902,5891495,"$51,600.00",$-,Planning,,,,
WAP_2025_08_00089,,Reach 3,3.2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,"Undertake a vegetation survey during spring/summer to identify and map remnant native vegetation, including rare/endagered plant species",Survey,Medium,2,,Null,Null,$500.00,$-,Planning,,,,
WAP_2025_08_00090,,Reach 3,3.3,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake survey of left bank tributary,Survey,High,3,,689087,5891121,"$2,000.00",$-,Unknown,,,,
WAP_2025_08_00091,,Reach 3,3.4,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Place grade control structures in tributaries to limit the amount of sediment entering the channel,Stability,High,3,,689087,5891121,"$80,000.00",$-,Defered,,Glendhu,,
WAP_2025_08_00092,,Reach 3,3.5,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence and revegetate tributary channel to protect structures,Fencing & Revegetation,High,3,WCMA,689087,5891121,"$27,600.00",$-,Planning,,,,
WAP_2025_08_00093,,Reach 3,3.6,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake longitudinal and cross section survey of left bank tributary to determine location for grade control structures,Survey,High,3,,692202,5893407,Refer action CW1 and CW2 Glendhu WAP,$-,Unknown,,,,
WAP_2025_08_00094,,Reach 3,3.7,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Design and construct grade control structures in main channel,Stability,High,3,,691524,5893186,"$100,000.00",$-,Defered,,Glendhu,,
WAP_2025_08_00095,,Reach 3,3.8,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,High,3,,Null,Null,Cost borne under other programs,$-,Unknown,,,,
WAP_2025_08_00096,,Reach 4,4.1,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Fence main channel to control stock,Fencing,High,3,WCMA,686577,5892014,"$15,300.00",$-,Planning,,,,
WAP_2025_08_00097,,Reach 4,4.2,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Revegetation works within the main channel to trap and hold sediment,Revegetation,High,3,,686577,5892014,"$5,100.00",$-,Planning,,,,
WAP_2025_08_00098,,Reach 4,4.3,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control head cut within right bank tributary,Stability,Medium,2,,687316,5892240,"$20,000.00",$-,Unknown,,,,
WAP_2025_08_00099,,Reach 4,4.4,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Undertake longitudinal and cross section survey of left bank tributary to determine location for grade control structures,Survey,High,3,,691524,5893186,Refer action CW1 and CW2 Glendhu WAP,$-,Unknown,,,,
WAP_2025_08_00100,,Reach 4,4.5,Unknown,Glendhu Creek WAP 2004,Jack Start,Null,Design and install grade control structures,Stability,High,3,WCMA,691524,5893186,"$50,000.00",$-,Defered,,,,
WAP_2025_08_00101,,Reach 4,4.6,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Control rabbits before any fencing structural or revegetation works begin,Rabbit Control,High,3,,Null,Null,Cost borne under other programs,$-,Unknown,,,,
WAP_2025_08_00102,,Reach 5,5.1,Unknown,Glendhu Creek WAP 2004,Unknown,Null,Stop all gravel extraction in order to aid stream recovery,Enforcement,High,3,Landholder Responibility,685045,5892738,$-,$-,Planning,,Glendhu,,
WAP_2025_08_00103,,Reach 5,5.10,Unknown,Glendhu Creek WAP 2004,David Shaw,5353 9227,Remove willow,Weed Control,Medium,2,,683793,5892913,$100.00,$-,Unknown,,Seek to establish sed stores and grade controls. WCMA & SKM to meet with landholder and discuss opportunity to do work,,
WAP_2025_08_00104,,Reach 5,5.11,Unknown,Glendhu Creek WAP 2004,Jack Start,Null,Rock breaching to protect eroding bank,Stability,High,3,WCMA,683617,5892934,"$2,100.00",$-,Defered,,,,
